ufn,semsp_id,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,lice_id_protocol_field,analysis_planned,fish_field_comments,qc_log
U132,2015-05-22-J08-CO-7,JE105N2,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U154,2015-05-23-J09-SO-7,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U155,2015-05-23-J09-SO-4,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U156,2015-05-22-J07-SO-16,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U157,2015-05-22-J08-CO-8,JE105N2,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U158,2015-05-22-J07-SO-23,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U145,2015-05-23-J09-SO-3,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U146,2015-05-23-J09-SO-9,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U147,2015-05-22-J08-CO-9,JE105N2,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U148,2015-05-22-J08-CO-5,JE105N2,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U149,2015-05-22-J08-CO-10,JE105N2,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U150,2015-05-22-J08-CO-6,JE105N2,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U125,2015-05-23-J09-SO-10,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U133,2015-05-22-J07-SO-28,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U134,2015-05-22-J07-SO-17,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U135,2015-05-22-J07-SO-19,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U136,2015-05-22-J07-SO-26,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U137,2015-05-22-J07-SO-24,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U138,2015-05-22-J07-SO-18,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U159,2015-05-22-J07-SO-30,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U160,2015-05-22-J07-SO-20,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U171,2015-05-22-J07-SO-25,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U161,2015-05-22-J07-SO-21,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U162,2015-05-22-J07-SO-22,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U139,2015-05-22-J07-SO-27,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
