seine_id,survey_id,set_number,set_type,lat,long,set_time,time_searching,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,collection_protocol,seine_comments,qc_log
JE168N1,JE168,1,targeted,50.47959,-126.02629,2015-06-12 05:37:00 PDT,10,NA,NA,NA,yes,4,4,0,0,10,50,1,1,10,11,NA,NA,SEMSP,NA,
JE171N1,JE171,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE171N2,JE171,2,targeted,50.53988,-126.78291,2015-06-13 11:50:00 PDT,0,NA,NA,NA,yes,30,1000,0,0,10,900,6,6,0,0,NA,NA,SEMSP,approx 50/1000 sockeye had lesions ; total aprox 2000; saw 3 or 4 lesioned chum (photos on marks phone - no yellow around mouth),
JE172N3,JE172,3,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE172N2,JE172,2,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE172N1,JE172,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE172N4,JE172,4,targeted,50.47679,-126.02843,2015-06-14 08:50:00 PDT,5,NA,NA,NA,yes,30,600,10,30,10,600,0,0,1,1,NA,NA,SEMSP,"one fish discarded because ID unsure.  Had both chum and sockeye characteristics.  Not pink, coho, or chinook.",
JE173N1,JE173,1,targeted,50.45698,-126.16944,2015-06-14 11:20:00 PDT,3,NA,NA,NA,yes,30,1000,7,7,10,3000,0,0,10,20,NA,NA,SEMSP,NA,
JE174N1,JE174,1,targeted,50.49881,-126.21349,2015-06-14 14:05:00 PDT,10,NA,NA,NA,yes,30,300,2,2,10,700,0,0,0,0,NA,NA,SEMSP,NA,
JE175N1,JE175,1,targeted,50.52618,-126.38632,2015-06-15 05:20:00 PDT,5,NA,NA,NA,yes,7,7,0,0,10,1000,0,0,0,0,NA,NA,SEMSP,NA,
JE176N1,JE176,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE176N2,JE176,2,targeted,50.48035,-126.41265,2015-06-15 07:50:00 PDT,0,NA,NA,NA,yes,30,100,10,60,10,1000,0,0,0,1,NA,NA,SEMSP,NA,
JE177N1,JE177,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE177N2,JE177,2,targeted,50.54719,-126.67487,2015-06-15 11:30:00 PDT,4,NA,NA,NA,yes,30,100,0,0,10,500,0,0,0,0,NA,NA,SEMSP,"Number taken and total in set not recorded for herring, coho, and pink. Seans fault for not checking. Make sure to record in lab later (or from group labels in -80",
JE178N1,JE178,1,targeted,50.55792,-126.73617,2015-06-15 14:00:00 PDT,5,NA,NA,NA,yes,30,300,10,40,10,500,1,1,6,6,NA,NA,SEMSP,NA,
JE179N1,JE179,1,targeted,50.58185,-126.71983,2015-06-16 06:12:00 PDT,66,NA,NA,NA,yes,30,100,10,200,10,200,0,0,0,0,NA,NA,SEMSP,NA,
