survey_id,survey_date,site_id,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,secchi,ysi_bout,ctd_bout,zoop_bout,survey_type,survey_comments
JE184,2015-06-17,J03,"Sean Godwin, Carson White, Samantha Crowley",none,25,1,0,NA,NA,NA,NA,1,11.1,1,NA,1,standard,NA
JE185,2015-06-18,J06,"Sean Godwin, Dylan Smyth, Katie Chan",none,50,1,0.1-5,SE,NA,NA,NA,1,10.1,1,NA,1,standard,NA
JE186,2015-06-18,J07,"Sean Godwin, Dylan Smyth, Katie Chan",none,100,1,0,NA,NA,NA,NA,1,16.1,1,NA,1,standard,NA
JE187,2015-06-18,J05,"Sean Godwin, Dylan Smyth, Sean Godwin, Melissa Orobko",none,100,1,0.1-5,W,NA,NA,NA,1,10.9,1,NA,1,standard,NA
JE188,2015-06-18,J01,"Sean Godwin, Dylan Smyth, Sean Godwin, Melissa Orobko",light,100,0,0,NA,NA,NA,NA,1,13.2,1,NA,1,standard,NA
JE189,2015-06-19,J09,"Sean Godwin, Lauren Portner, Dylan Smyth",none,75,0,0.1-5,E,NA,NA,NA,2,13.7,1,NA,1,standard,NA
JE190,2015-06-19,J10,"Sean Godwin, Lauren Portner, Dylan Smyth",none,75,0,0.1-5,NW,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE191,2015-06-19,J02,"Sean Godwin, Lauren Portner, Dylan Smyth",light,100,1,0.1-5,SE,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE192,2015-06-20,J04,"Lauren Portner, Dylan Smyth, Katie Chan",none,100,1,0.1-5,NW,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE193,2015-06-20,J08,"Lauren Portner, Dylan Smyth, Katie Chan",light,100,1,0.1-5,NW,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE194,2015-06-20,J05,"Lauren Portner, Dylan Smyth, Katie Chan",none,50,2,10-15,NW,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
JE195,2015-06-20,J07,"Lauren Portner, Dylan Smyth, Katie Chan",none,25,1,5-10,NW,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
