survey_date,site_id,gather_lat,gather_long,ysi_unit_sn,sampling_bout,collected,quality_log,temperature_0m,temperature_1m,salinity_0m,salinity_1m
,J10,,,15C100324,,2015-07-01 07:50:00 PDT,Changed Temperature from 10.3 (2018-07-16 JG),,,,
,J10,,,15C100324,,2015-07-01 07:50:00 PDT,NA,,,,
,J03,,,15C100324,,2015-07-01 08:39:59 PDT,Added missing data to portal 2019-08-18 JG,,,,
,J03,,,15C100324,,2015-07-01 09:40:00 PDT,Added missing data to portal 2019-08-18 JG,,,,
,J09,,,15C101449,,2015-07-01 13:34:00 PDT,NA,,,,
,J09,,,15C101449,,2015-07-01 13:34:30 PDT,NA,,,,
,D09,,,15B102233,,2015-07-02 12:07:00 PDT,"Changed Temperature from 12 (2018-07-16 JG)
2: Secchi 12.9 m",,,,
,D09,,,15B102233,,2015-07-02 12:12:00 PDT,Secchi 12.9 m,,,,
,D11,,,15B102233,,2015-07-05 14:59:00 PDT,Secchi 11.9 m,,,,
,D09,,,15B102233,,2015-07-06 07:53:00 PDT,Secchi 11.3 m,,,,
,D11,,,15B102233,,2015-07-06 10:41:00 PDT,Secchi 11.6 m,,,,
,J09,,,15C100324,,2015-07-07 11:46:50 PDT,NA,,,,
,D11,,,15B102233,,2015-07-07 13:34:00 PDT,Secchi 12.9 m,,,,
,D09,,,15B102233,,2015-07-07 15:58:00 PDT,Secchi 11.4 m,,,,
,D09,,,15B102233,,2015-07-07 15:59:00 PDT,Secchi 11.4 m,,,,
,D09,,,15B102233,,2015-07-14 08:50:00 PDT,Secchi 10.0 m,,,,
,D11,,,15B102233,,2015-07-14 12:33:00 PDT,Secchi 15.8 m,,,,
,D22,,,15B102233,,2016-05-07 07:50:00 PDT,NA,,,,
,D23,,,15B102233,,2016-05-07 11:25:00 PDT,NA,,,,
,D09,,,15B102233,,2016-05-07 13:19:00 PDT,YSI time estimated 15 min after time of set (no fish caught) (no data recorded). Added 2018-07-18 JG,,,,
,D08,,,15B102233,,2016-05-09 08:25:00 PDT,NA,,,,
,D08,,,15B102233,,2016-05-09 08:26:00 PDT,NA,,,,
,D24,,,15B102233,,2016-05-09 10:11:00 PDT,NA,,,,
,D07,,,15B102233,,2016-05-09 11:26:00 PDT,YSI time estimated 15 min after time of set (no fish caught) (no data recorded). Added 2018-07-18 JG,,,,
,D04,,,15B102233,,2016-05-10 06:53:15 PDT,NA,,,,
,D26,,,15B102233,,2016-05-10 08:25:05 PDT,NA,,,,
,D25,,,15B102233,,2016-05-10 09:50:05 PDT,NA,,,,
,D20,,,15B102233,,2016-05-11 08:24:00 PDT,NA,,,,
,D20,,,15B102233,,2016-05-11 08:25:00 PDT,NA,,,,
,D21,,,15B102233,,2016-05-11 09:30:17 PDT,NA,,,,
,D11,,,15B102233,,2016-05-11 11:53:02 PDT,NA,,,,
,D25,,,15B102233,,2016-05-13 11:23:32 PDT,NA,,,,
