sample_id,sample_type,ufn,sample_comments,analyzing_lab
S459IS1,isotope,U459,NA,DCostalago_UBC
S460IS1,isotope,U460,NA,DCostalago_UBC
S461IS1,isotope,U461,NA,DCostalago_UBC
S462IS1,isotope,U462,NA,DCostalago_UBC
S463IS1,isotope,U463,NA,DCostalago_UBC
S464IS1,isotope,U464,NA,DCostalago_UBC
S465IS1,isotope,U465,NA,DCostalago_UBC
S466IS1,isotope,U466,NA,DCostalago_UBC
S467IS1,isotope,U467,NA,DCostalago_UBC
S468IS1,isotope,U468,NA,DCostalago_UBC
S469IS1,isotope,U469,NA,DCostalago_UBC
S470IS1,isotope,U470,NA,DCostalago_UBC
S471IS1,isotope,U471,NA,NA
S472IS1,isotope,U472,NA,NA
S473IS1,isotope,U473,NA,NA
S474IS1,isotope,U474,NA,NA
S475IS1,isotope,U475,NA,DCostalago_UBC
S476IS1,isotope,U476,NA,DCostalago_UBC
S477IS1,isotope,U477,NA,DCostalago_UBC
S478IS1,isotope,U478,NA,DCostalago_UBC
S479IS1,isotope,U479,NA,DCostalago_UBC
S480IS1,isotope,U480,NA,DCostalago_UBC
S481IS1,isotope,U481,NA,DCostalago_UBC
S482IS1,isotope,U482,NA,DCostalago_UBC
S483IS1,isotope,U483,NA,DCostalago_UBC
S484IS1,isotope,U484,NA,DCostalago_UBC
S485IS1,isotope,U485,NA,DCostalago_UBC
S486IS1,isotope,U486,NA,DCostalago_UBC
S487IS1,isotope,U487,NA,DCostalago_UBC
S488IS1,isotope,U488,NA,DCostalago_UBC
S489IS1,isotope,U489,NA,DCostalago_UBC
S490IS1,isotope,U490,NA,DCostalago_UBC
S491IS1,isotope,U491,NA,DCostalago_UBC
S492IS1,isotope,U492,NA,DCostalago_UBC
S493IS1,isotope,U493,NA,DCostalago_UBC
S494IS1,isotope,U494,NA,DCostalago_UBC
S495IS1,isotope,U495,NA,DCostalago_UBC
S496IS1,isotope,U496,NA,DCostalago_UBC
S497IS1,isotope,U497,NA,DCostalago_UBC
S498IS1,isotope,U498,NA,DCostalago_UBC
S499IS1,isotope,U499,NA,DCostalago_UBC
S500IS1,isotope,U500,NA,DCostalago_UBC
S501IS1,isotope,U501,NA,DCostalago_UBC
S502IS1,isotope,U502,NA,DCostalago_UBC
S503IS1,isotope,U503,NA,DCostalago_UBC
S504IS1,isotope,U504,NA,DCostalago_UBC
S505IS1,isotope,U505,NA,DCostalago_UBC
S506IS1,isotope,U506,NA,DCostalago_UBC
S507IS1,isotope,U507,NA,DCostalago_UBC
S508IS1,isotope,U508,NA,DCostalago_UBC
S509IS1,isotope,U509,NA,DCostalago_UBC
S510IS1,isotope,U510,NA,DCostalago_UBC
S511IS1,isotope,U511,NA,DCostalago_UBC
S512IS1,isotope,U512,NA,DCostalago_UBC
S513IS1,isotope,U513,NA,DCostalago_UBC
S514IS1,isotope,U514,NA,DCostalago_UBC
S515IS1,isotope,U515,NA,DCostalago_UBC
S516IS1,isotope,U516,NA,DCostalago_UBC
S517IS1,isotope,U517,NA,DCostalago_UBC
S518IS1,isotope,U518,NA,DCostalago_UBC
S519IS1,isotope,U519,NA,DCostalago_UBC
S520IS1,isotope,U520,NA,DCostalago_UBC
S521IS1,isotope,U521,NA,DCostalago_UBC
S522IS1,isotope,U522,NA,DCostalago_UBC
S523IS1,isotope,U523,NA,DCostalago_UBC
S524IS1,isotope,U524,NA,DCostalago_UBC
S525IS1,isotope,U525,NA,DCostalago_UBC
S526IS1,isotope,U526,NA,DCostalago_UBC
S527IS1,isotope,U527,NA,DCostalago_UBC
S528IS1,isotope,U528,NA,DCostalago_UBC
S529IS1,isotope,U529,NA,DCostalago_UBC
S530IS1,isotope,U530,NA,DCostalago_UBC
S531IS1,isotope,U531,NA,DCostalago_UBC
S532IS1,isotope,U532,NA,DCostalago_UBC
S533IS1,isotope,U533,NA,DCostalago_UBC
S534IS1,isotope,U534,NA,DCostalago_UBC
S535IS1,isotope,U535,NA,DCostalago_UBC
S536IS1,isotope,U536,NA,DCostalago_UBC
S537IS1,isotope,U537,NA,DCostalago_UBC
S538IS1,isotope,U538,NA,DCostalago_UBC
S539IS1,isotope,U539,NA,DCostalago_UBC
S540IS1,isotope,U540,NA,DCostalago_UBC
S541IS1,isotope,U541,NA,DCostalago_UBC
S542IS1,isotope,U542,NA,DCostalago_UBC
S543IS1,isotope,U543,NA,DCostalago_UBC
S544IS1,isotope,U544,NA,DCostalago_UBC
S545IS1,isotope,U545,NA,DCostalago_UBC
S546IS1,isotope,U546,NA,DCostalago_UBC
S547IS1,isotope,U547,NA,DCostalago_UBC
S548IS1,isotope,U548,NA,DCostalago_UBC
S549IS1,isotope,U549,NA,DCostalago_UBC
S550IS1,isotope,U550,NA,DCostalago_UBC
S551IS1,isotope,U551,NA,DCostalago_UBC
S552IS1,isotope,U552,NA,DCostalago_UBC
S553IS1,isotope,U553,NA,DCostalago_UBC
S554IS1,isotope,U554,NA,DCostalago_UBC
S555IS1,isotope,U555,NA,DCostalago_UBC
S556IS1,isotope,U556,NA,DCostalago_UBC
S557IS1,isotope,U557,NA,DCostalago_UBC
S558IS1,isotope,U558,NA,DCostalago_UBC
S559IS1,isotope,U559,NA,DCostalago_UBC
S560IS1,isotope,U560,NA,DCostalago_UBC
S561IS1,isotope,U561,NA,DCostalago_UBC
S562IS1,isotope,U562,NA,DCostalago_UBC
S563IS1,isotope,U563,NA,DCostalago_UBC
S564IS1,isotope,U564,NA,DCostalago_UBC
S565IS1,isotope,U565,NA,DCostalago_UBC
S566IS1,isotope,U566,NA,DCostalago_UBC
S567IS1,isotope,U567,NA,DCostalago_UBC
S568IS1,isotope,U568,NA,DCostalago_UBC
S569IS1,isotope,U569,NA,DCostalago_UBC
S570IS1,isotope,U570,NA,DCostalago_UBC
S571IS1,isotope,U571,NA,DCostalago_UBC
S572IS1,isotope,U572,NA,DCostalago_UBC
S573IS1,isotope,U573,NA,DCostalago_UBC
S574IS1,isotope,U574,NA,DCostalago_UBC
S575IS1,isotope,U575,NA,DCostalago_UBC
S576IS1,isotope,U576,NA,DCostalago_UBC
S577IS1,isotope,U577,NA,DCostalago_UBC
S578IS1,isotope,U578,NA,DCostalago_UBC
S579IS1,isotope,U579,NA,DCostalago_UBC
S580IS1,isotope,U580,NA,DCostalago_UBC
S581IS1,isotope,U581,NA,DCostalago_UBC
S582IS1,isotope,U582,NA,DCostalago_UBC
S583IS1,isotope,U583,NA,DCostalago_UBC
S584IS1,isotope,U584,NA,DCostalago_UBC
S586IS1,isotope,U586,NA,DCostalago_UBC
