sample_id,sample_type,ufn,tissue_type,sample_comments,analyzing_lab,quality_log
S3169DN1,DNA,U3169,liver,NA,NA,NA
S3170DN1,DNA,U3170,liver,NA,NA,NA
S3171DN1,DNA,U3171,liver,NA,NA,NA
S3172DN1,DNA,U3172,liver,NA,NA,NA
S3173DN1,DNA,U3173,liver,NA,NA,NA
S3174DN1,DNA,U3174,liver,NA,NA,NA
S3175DN1,DNA,U3175,liver,NA,NA,NA
S3176DN1,DNA,U3176,liver,NA,NA,NA
S3177DN1,DNA,U3177,liver,NA,NA,NA
S3178DN1,DNA,U3178,liver,NA,NA,NA
S3179DN1,DNA,U3179,liver,NA,NA,NA
S3180DN1,DNA,U3180,liver,NA,NA,NA
S3181DN1,DNA,U3181,liver,NA,NA,NA
S3182DN1,DNA,U3182,liver,NA,NA,NA
S3183DN1,DNA,U3183,liver,NA,NA,NA
S3184DN1,DNA,U3184,liver,NA,NA,NA
S3185DN1,DNA,U3185,liver,NA,NA,NA
S3186DN1,DNA,U3186,liver,NA,NA,NA
S3187DN1,DNA,U3187,liver,NA,NA,NA
S3188DN1,DNA,U3188,liver,NA,NA,NA
S3189DN1,DNA,U3189,liver,NA,NA,NA
S3190DN1,DNA,U3190,liver,NA,NA,NA
S3191DN1,DNA,U3191,liver,NA,NA,NA
S3192DN1,DNA,U3192,liver,NA,NA,NA
S3193DN1,DNA,U3193,liver,NA,NA,NA
S3194DN1,DNA,U3194,liver,NA,NA,NA
S3195DN1,DNA,U3195,liver,NA,NA,NA
S3204DN1,DNA,U3204,liver,NA,NA,NA
S3205DN1,DNA,U3205,liver,NA,NA,NA
S3206DN1,DNA,U3206,liver,NA,NA,NA
S3207DN1,DNA,U3207,liver,NA,NA,NA
S3208DN1,DNA,U3208,liver,NA,NA,NA
S3209DN1,DNA,U3209,liver,NA,NA,NA
S3210DN1,DNA,U3210,liver,NA,NA,NA
S3211DN1,DNA,U3211,liver,NA,NA,NA
S3212DN1,DNA,U3212,liver,NA,NA,NA
S3213DN1,DNA,U3213,liver,NA,NA,NA
S3214DN1,DNA,U3214,liver,NA,NA,NA
S3215DN1,DNA,U3215,liver,NA,NA,NA
S3216DN1,DNA,U3216,liver,NA,NA,NA
S3217DN1,DNA,U3217,liver,NA,NA,NA
S3218DN1,DNA,U3218,liver,NA,NA,NA
S3219DN1,DNA,U3219,liver,NA,NA,NA
S3220DN1,DNA,U3220,liver,NA,NA,NA
S3221DN1,DNA,U3221,liver,NA,NA,NA
S3222DN1,DNA,U3222,liver,NA,NA,NA
S3223DN1,DNA,U3223,liver,NA,NA,NA
S3224DN1,DNA,U3224,liver,NA,NA,NA
S3225DN1,DNA,U3225,kidney,NA,NA,NA
S3226DN1,DNA,U3226,liver,NA,NA,NA
S3227DN1,DNA,U3227,liver,NA,NA,NA
S3228DN1,DNA,U3228,liver,NA,NA,NA
S3229DN1,DNA,U3229,liver,NA,NA,NA
S3230DN1,DNA,U3230,liver,NA,NA,NA
S3231DN1,DNA,U3231,liver,NA,NA,NA
S3232DN1,DNA,U3232,liver,NA,NA,NA
S3233DN1,DNA,U3233,liver,NA,NA,NA
S3234DN1,DNA,U3234,liver,NA,NA,NA
S3235DN1,DNA,U3235,liver,NA,NA,NA
S3236DN1,DNA,U3236,liver,NA,NA,NA
S3237DN1,DNA,U3237,liver,NA,NA,NA
S3238DN1,DNA,U3238,liver,NA,NA,NA
S3239DN1,DNA,U3239,liver,NA,NA,NA
S3240DN1,DNA,U3240,liver,NA,NA,NA
S3241DN1,DNA,U3241,liver,NA,NA,NA
S3242DN1,DNA,U3242,liver,NA,NA,NA
S3243DN1,DNA,U3243,liver,NA,NA,NA
S3244DN1,DNA,U3244,liver,NA,NA,NA
S3245DN1,DNA,U3245,liver,NA,NA,NA
S3246DN1,DNA,U3246,liver,NA,NA,NA
S3247DN1,DNA,U3247,liver,NA,NA,NA
S3248DN1,DNA,U3248,liver,NA,NA,NA
S3249DN1,DNA,U3249,liver,NA,NA,NA
S3250DN1,DNA,U3250,liver,NA,NA,NA
S3251DN1,DNA,U3251,liver,NA,NA,NA
S3252DN1,DNA,U3252,liver,NA,NA,NA
S3253DN1,DNA,U3253,liver,NA,NA,NA
S3254DN1,DNA,U3254,liver,NA,NA,NA
S3255DN1,DNA,U3255,liver,NA,NA,NA
S3256DN1,DNA,U3256,liver,NA,NA,NA
S3257DN1,DNA,U3257,liver,NA,NA,NA
S3258DN1,DNA,U3258,liver,NA,NA,NA
S3259DN1,DNA,U3259,liver,NA,NA,NA
S3260DN1,DNA,U3260,liver,NA,NA,NA
S3261DN1,DNA,U3261,liver,NA,NA,NA
S3262DN1,DNA,U3262,liver,NA,NA,NA
S3263DN1,DNA,U3263,liver,NA,NA,NA
S3264DN1,DNA,U3264,liver,NA,NA,NA
S3265DN1,DNA,U3265,liver,NA,NA,NA
S3266DN1,DNA,U3266,liver,NA,NA,NA
S3267DN1,DNA,U3267,liver,NA,NA,NA
S3268DN1,DNA,U3268,liver,NA,NA,NA
S3269DN1,DNA,U3269,liver,NA,NA,NA
S3270DN1,DNA,U3270,liver,NA,NA,NA
S3271DN1,DNA,U3271,liver,NA,NA,NA
S3272DN1,DNA,U3272,liver,NA,NA,NA
S3273DN1,DNA,U3273,liver,NA,NA,NA
S3274DN1,DNA,U3274,liver,NA,NA,NA
S3275DN1,DNA,U3275,liver,NA,NA,NA
S3276DN1,DNA,U3276,liver,NA,NA,NA
S3277DN1,DNA,U3277,liver,NA,NA,NA
S3278DN1,DNA,U3278,liver,NA,NA,NA
