sample_id,sample_type,ufn,sample_comments,analyzing_lab
S1153SL1,sealice_id_fs,U1153,NA,LPortner
S1146SL1,sealice_id_fs,U1146,NA,LPortner
S1154SL1,sealice_id_fs,U1154,NA,LPortner
S1147SL1,sealice_id_fs,U1147,NA,LPortner
S1165SL1,sealice_id_fs,U1165,NA,LPortner
S1148SL1,sealice_id_fs,U1148,NA,LPortner
S1166SL1,sealice_id_fs,U1166,NA,LPortner
S1171SL1,sealice_id_fs,U1171,NA,LPortner
S1149SL1,sealice_id_fs,U1149,NA,LPortner
S1172SL1,sealice_id_fs,U1172,NA,LPortner
S1150SL1,sealice_id_fs,U1150,NA,LPortner
S1156SL1,sealice_id_fs,U1156,NA,LPortner
