package_id,seine_id,pkg_species,n_fish,field_liced_status,preservation_status,pkg_type,pkg_comments
P1371,DE701N2,CK,1,N,OK,JSP,NA
P1372,DE702N1,SO,10,N,OK,JSP,NA
P1373,DE702N1,SO,10,N,OK,JSP,NA
P1374,DE702N1,SO,10,N,OK,JSP,NA
P1354,DE702N1,PI,6,N,OK,JSP,NA
P1377,DE703N1,SO,10,N,OK,JSP,NA
P1375,DE703N1,SO,10,N,OK,JSP,NA
P1376,DE703N1,SO,10,N,OK,JSP,NA
P1378,DE704N1,SO,5,N,OK,JSP,NA
P1379,DE704N1,PI,10,N,OK,JSP,NA
P1380,DE704N1,CU,3,N,OK,JSP,NA
P1355,DE704N1,CK,5,N,OK,JSP,NA
P1356,DE706N2,SO,10,N,OK,JSP,NA
P1357,DE706N2,SO,10,N,OK,JSP,NA
P1359,DE706N2,SO,10,N,OK,JSP,NA
P1360,DE706N2,PI,10,N,OK,JSP,NA
P1530,DE706N2,CU,3,N,OK,JSP,NA
P1529,DE706N2,HE,4,N,PC,JSP,Package left in dewar for 1 week; but unsure when dewar was topped up with LN2
P1526,DE708N2,SO,3,N,OK,JSP,NA
P1528,DE708N2,PI,10,N,OK,JSP,NA
P1358,DE708N2,CU,10,N,OK,JSP,NA
P1527,DE708N2,CO,4,N,OK,JSP,NA
P1540,DE709N1,CO,4,N,OK,JSP,NA
P1539,DE709N1,CK,1,N,OK,JSP,NA
P1535,DE709N1,SO,10,N,OK,JSP,NA
P1533,DE709N1,PI,10,N,OK,JSP,NA
P1532,DE709N1,CU,3,N,OK,JSP,NA
P1531,DE709N1,SO,10,N,OK,JSP,NA
P1534,DE709N1,SO,10,N,OK,JSP,NA
P1508,DE710N1,SO,10,N,OK,JSP,NA
P1509,DE710N1,CO,1,N,OK,JSP,NA
P1511,DE710N1,HE,1,N,OK,JSP,NA
P1506,DE710N1,SO,10,N,OK,JSP,NA
P1507,DE710N1,PI,10,N,OK,JSP,NA
P1510,DE710N1,CU,3,N,OK,JSP,NA
P1546,DE711N1,SO,10,N,OK,JSP,NA
P1547,DE711N1,CU,10,N,OK,JSP,NA
P1548,DE711N1,PI,10,N,OK,JSP,NA
P1549,DE711N1,SO,9,N,OK,JSP,NA
P1515,DE714N2,SO,10,N,OK,JSP,NA
P1514,DE714N2,PI,10,N,OK,JSP,NA
P1513,DE714N2,CU,10,N,OK,JSP,NA
P1538,DE714N2,SO,6,N,OK,JSP,NA
P1550,DE715N1,SO,10,N,OK,JSP,NA
P1501,DE715N1,PI,10,N,OK,JSP,NA
P1502,DE715N1,CU,10,N,OK,JSP,NA
P1503,DE715N1,SO,9,N,OK,JSP,NA
P1512,DE718N1,PI,10,N,OK,JSP,NA
P1504,DE718N1,SO,1,N,OK,JSP,NA
P1505,DE718N1,CU,3,N,OK,JSP,NA
P1536,DE720N2,PI,10,N,OK,JSP,NA
P1537,DE720N2,CU,9,N,OK,JSP,NA
P1521,DE720N2,CO,2,N,OK,JSP,NA
P1523,DE721N2,SO,2,N,OK,JSP,NA
