sample_type,sample_id,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
RNA_DNA,S338RD1,U338,NA,UBC_Hunt,AV,NA
RNA_DNA,S337RD1,U337,NA,UBC_Hunt,AV,NA
RNA_DNA,S336RD1,U336,NA,UBC_Hunt,AV,NA
RNA_DNA,S335RD1,U335,NA,UBC_Hunt,AV,NA
RNA_DNA,S334RD1,U334,NA,UBC_Hunt,AV,NA
RNA_DNA,S333RD1,U333,NA,UBC_Hunt,AV,NA
RNA_DNA,S353RD1,U353,NA,UBC_Hunt,AV,NA
RNA_DNA,S354RD1,U354,NA,UBC_Hunt,AV,NA
RNA_DNA,S355RD1,U355,NA,UBC_Hunt,AV,NA
RNA_DNA,S356RD1,U356,NA,UBC_Hunt,AV,NA
RNA_DNA,S357RD1,U357,NA,UBC_Hunt,AV,NA
RNA_DNA,S358RD1,U358,NA,UBC_Hunt,AV,NA
RNA_DNA,S359RD1,U359,NA,UBC_Hunt,AV,NA
RNA_DNA,S360RD1,U360,NA,UBC_Hunt,AV,NA
RNA_DNA,S347RD1,U347,NA,UBC_Hunt,AV,NA
RNA_DNA,S348RD1,U348,NA,UBC_Hunt,AV,NA
RNA_DNA,S349RD1,U349,NA,UBC_Hunt,AV,NA
RNA_DNA,S350RD1,U350,NA,UBC_Hunt,AV,NA
RNA_DNA,S371RD1,U371,NA,UBC_Hunt,AV,NA
RNA_DNA,S372RD1,U372,NA,UBC_Hunt,AV,NA
RNA_DNA,S373RD1,U373,NA,UBC_Hunt,AV,NA
RNA_DNA,S374RD1,U374,NA,UBC_Hunt,AV,NA
RNA_DNA,S368RD1,U368,NA,UBC_Hunt,AV,NA
RNA_DNA,S367RD1,U367,NA,UBC_Hunt,AV,NA
RNA_DNA,S366RD1,U366,NA,UBC_Hunt,AV,NA
RNA_DNA,S365RD1,U365,NA,UBC_Hunt,AV,NA
RNA_DNA,S364RD1,U364,NA,UBC_Hunt,AV,NA
RNA_DNA,S363RD1,U363,NA,UBC_Hunt,AV,NA
RNA_DNA,S362RD1,U362,NA,UBC_Hunt,AV,NA
RNA_DNA,S361RD1,U361,NA,UBC_Hunt,AV,NA
RNA_DNA,S381RD1,U381,NA,UBC_Hunt,AV,NA
RNA_DNA,S382RD1,U382,NA,UBC_Hunt,AV,NA
RNA_DNA,S383RD1,U383,NA,UBC_Hunt,AV,NA
RNA_DNA,S384RD1,U384,NA,UBC_Hunt,AV,NA
RNA_DNA,S385RD1,U385,NA,UBC_Hunt,AV,NA
RNA_DNA,S386RD1,U386,NA,UBC_Hunt,AV,NA
RNA_DNA,S387RD1,U387,NA,UBC_Hunt,AV,NA
RNA_DNA,S388RD1,U388,NA,UBC_Hunt,AV,NA
RNA_DNA,S396RD1,U396,NA,UBC_Hunt,AV,NA
RNA_DNA,S395RD1,U395,NA,UBC_Hunt,AV,NA
RNA_DNA,S394RD1,U394,NA,UBC_Hunt,AV,NA
RNA_DNA,S393RD1,U393,NA,UBC_Hunt,AV,NA
RNA_DNA,S392RD1,U392,NA,UBC_Hunt,AV,NA
RNA_DNA,S391RD1,U391,NA,UBC_Hunt,AV,NA
RNA_DNA,S370RD1,U370,NA,UBC_Hunt,AV,NA
RNA_DNA,S369RD1,U369,NA,UBC_Hunt,AV,NA
RNA_DNA,S424RD1,U424,NA,UBC_Hunt,AV,NA
RNA_DNA,S423RD1,U423,NA,UBC_Hunt,AV,NA
RNA_DNA,S422RD1,U422,NA,UBC_Hunt,AV,NA
RNA_DNA,S421RD1,U421,NA,UBC_Hunt,AV,NA
RNA_DNA,S400RD1,U400,NA,UBC_Hunt,AV,NA
RNA_DNA,S399RD1,U399,NA,UBC_Hunt,AV,NA
RNA_DNA,S398RD1,U398,NA,UBC_Hunt,AV,NA
RNA_DNA,S397RD1,U397,NA,UBC_Hunt,AV,NA
RNA_DNA,S389RD1,U389,NA,UBC_Hunt,AV,NA
RNA_DNA,S390RD1,U390,NA,UBC_Hunt,AV,NA
RNA_DNA,S411RD1,U411,NA,UBC_Hunt,AV,NA
RNA_DNA,S412RD1,U412,NA,UBC_Hunt,AV,NA
RNA_DNA,S413RD1,U413,NA,UBC_Hunt,AV,NA
RNA_DNA,S414RD1,U414,NA,UBC_Hunt,AV,NA
RNA_DNA,S415RD1,U415,NA,UBC_Hunt,AV,NA
RNA_DNA,S416RD1,U416,NA,UBC_Hunt,AV,NA
RNA_DNA,S442RD1,U442,NA,UBC_Hunt,AV,NA
RNA_DNA,S441RD1,U441,NA,UBC_Hunt,AV,NA
RNA_DNA,S430RD1,U430,NA,UBC_Hunt,AV,NA
RNA_DNA,S429RD1,U429,NA,UBC_Hunt,AV,NA
RNA_DNA,S428RD1,U428,NA,UBC_Hunt,AV,NA
RNA_DNA,S427RD1,U427,NA,UBC_Hunt,AV,NA
RNA_DNA,S426RD1,U426,NA,UBC_Hunt,AV,NA
RNA_DNA,S425RD1,U425,NA,UBC_Hunt,AV,NA
RNA_DNA,S417RD1,U417,NA,UBC_Hunt,AV,NA
RNA_DNA,S418RD1,U418,NA,UBC_Hunt,AV,NA
RNA_DNA,S419RD1,U419,NA,UBC_Hunt,AV,NA
RNA_DNA,S420RD1,U420,NA,UBC_Hunt,AV,NA
RNA_DNA,S431RD1,U431,NA,UBC_Hunt,AV,NA
RNA_DNA,S432RD1,U432,NA,UBC_Hunt,AV,NA
RNA_DNA,S433RD1,U433,NA,UBC_Hunt,AV,NA
RNA_DNA,S434RD1,U434,NA,UBC_Hunt,AV,NA
RNA_DNA,S322RD1,U322,NA,UBC_Hunt,AV,NA
RNA_DNA,S323RD1,U323,NA,UBC_Hunt,AV,NA
RNA_DNA,S324RD1,U324,NA,UBC_Hunt,AV,NA
RNA_DNA,S325RD1,U325,NA,UBC_Hunt,AV,NA
RNA_DNA,S326RD1,U326,NA,UBC_Hunt,AV,NA
RNA_DNA,S327RD1,U327,NA,UBC_Hunt,AV,NA
RNA_DNA,S328RD1,U328,NA,UBC_Hunt,AV,NA
RNA_DNA,S498RD1,U498,NA,UBC_Hunt,AV,NA
RNA_DNA,S435RD1,U435,NA,UBC_Hunt,AV,NA
RNA_DNA,S436RD1,U436,NA,UBC_Hunt,AV,NA
RNA_DNA,S437RD1,U437,NA,UBC_Hunt,AV,NA
RNA_DNA,S438RD1,U438,NA,UBC_Hunt,AV,NA
RNA_DNA,S439RD1,U439,NA,UBC_Hunt,AV,NA
RNA_DNA,S440RD1,U440,NA,UBC_Hunt,AV,NA
RNA_DNA,S451RD1,U451,NA,UBC_Hunt,AV,NA
RNA_DNA,S452RD1,U452,NA,UBC_Hunt,AV,NA
RNA_DNA,S453RD1,U453,NA,UBC_Hunt,AV,NA
RNA_DNA,S449RD1,U449,NA,UBC_Hunt,AV,NA
RNA_DNA,S448RD1,U448,NA,UBC_Hunt,AV,NA
RNA_DNA,S447RD1,U447,NA,UBC_Hunt,AV,NA
RNA_DNA,S446RD1,U446,NA,UBC_Hunt,AV,NA
RNA_DNA,S445RD1,U445,NA,UBC_Hunt,AV,NA
RNA_DNA,S444RD1,U444,NA,UBC_Hunt,AV,NA
RNA_DNA,S443RD1,U443,NA,UBC_Hunt,AV,NA
RNA_DNA,S402RD1,U402,NA,UBC_Hunt,AV,NA
RNA_DNA,S403RD1,U403,NA,UBC_Hunt,AV,NA
RNA_DNA,S404RD1,U404,NA,UBC_Hunt,AV,NA
RNA_DNA,S405RD1,U405,NA,UBC_Hunt,AV,NA
RNA_DNA,S406RD1,U406,NA,UBC_Hunt,AV,NA
RNA_DNA,S407RD1,U407,NA,UBC_Hunt,AV,NA
RNA_DNA,S408RD1,U408,NA,UBC_Hunt,AV,NA
RNA_DNA,S409RD1,U409,NA,UBC_Hunt,AV,NA
RNA_DNA,S467RD1,U467,NA,UBC_Hunt,AV,NA
RNA_DNA,S466RD1,U466,NA,UBC_Hunt,AV,NA
RNA_DNA,S465RD1,U465,NA,UBC_Hunt,AV,NA
RNA_DNA,S464RD1,U464,NA,UBC_Hunt,AV,NA
RNA_DNA,S463RD1,U463,NA,UBC_Hunt,AV,NA
RNA_DNA,S462RD1,U462,NA,UBC_Hunt,AV,NA
RNA_DNA,S461RD1,U461,NA,UBC_Hunt,AV,NA
RNA_DNA,S450RD1,U450,NA,UBC_Hunt,AV,NA
RNA_DNA,S485RD1,U485,NA,UBC_Hunt,AV,NA
RNA_DNA,S484RD1,U484,NA,UBC_Hunt,AV,NA
RNA_DNA,S483RD1,U483,NA,UBC_Hunt,AV,NA
RNA_DNA,S482RD1,U482,NA,UBC_Hunt,AV,NA
RNA_DNA,S481RD1,U481,NA,UBC_Hunt,AV,NA
RNA_DNA,S470RD1,U470,NA,UBC_Hunt,AV,NA
RNA_DNA,S469RD1,U469,NA,UBC_Hunt,AV,NA
RNA_DNA,S468RD1,U468,NA,UBC_Hunt,AV,NA
RNA_DNA,S410RD1,U410,NA,UBC_Hunt,AV,NA
RNA_DNA,S491RD1,U491,NA,UBC_Hunt,AV,NA
RNA_DNA,S492RD1,U492,NA,UBC_Hunt,AV,NA
RNA_DNA,S493RD1,U493,NA,UBC_Hunt,AV,NA
RNA_DNA,S494RD1,U494,NA,UBC_Hunt,AV,NA
RNA_DNA,S495RD1,U495,NA,UBC_Hunt,AV,NA
RNA_DNA,S496RD1,U496,NA,UBC_Hunt,AV,NA
RNA_DNA,S497RD1,U497,NA,UBC_Hunt,AV,NA
RNA_DNA,S512RD1,U512,NA,UBC_Hunt,AV,NA
RNA_DNA,S511RD1,U511,NA,UBC_Hunt,AV,NA
RNA_DNA,S490RD1,U490,NA,UBC_Hunt,AV,NA
RNA_DNA,S499RD1,U499,NA,UBC_Hunt,AV,NA
RNA_DNA,S489RD1,U489,NA,UBC_Hunt,AV,NA
RNA_DNA,S488RD1,U488,NA,UBC_Hunt,AV,NA
RNA_DNA,S487RD1,U487,NA,UBC_Hunt,AV,NA
RNA_DNA,S486RD1,U486,NA,UBC_Hunt,AV,NA
RNA_DNA,S500RD1,U500,NA,UBC_Hunt,AV,NA
RNA_DNA,S501RD1,U501,NA,UBC_Hunt,AV,NA
RNA_DNA,S502RD1,U502,NA,UBC_Hunt,AV,NA
RNA_DNA,S503RD1,U503,NA,UBC_Hunt,AV,NA
RNA_DNA,S504RD1,U504,NA,UBC_Hunt,AV,NA
RNA_DNA,S505RD1,U505,NA,UBC_Hunt,AV,NA
RNA_DNA,S506RD1,U506,NA,UBC_Hunt,AV,NA
RNA_DNA,S507RD1,U507,NA,UBC_Hunt,AV,NA
RNA_DNA,S454RD1,U454,NA,UBC_Hunt,AV,NA
RNA_DNA,S455RD1,U455,NA,UBC_Hunt,AV,NA
RNA_DNA,S456RD1,U456,NA,UBC_Hunt,AV,NA
RNA_DNA,S457RD1,U457,NA,UBC_Hunt,AV,NA
RNA_DNA,S458RD1,U458,NA,UBC_Hunt,AV,NA
RNA_DNA,S459RD1,U459,NA,UBC_Hunt,AV,NA
RNA_DNA,S460RD1,U460,NA,UBC_Hunt,AV,NA
RNA_DNA,S531RD1,U531,NA,UBC_Hunt,AV,NA
RNA_DNA,S513RD1,U513,NA,UBC_Hunt,AV,NA
RNA_DNA,S514RD1,U514,NA,UBC_Hunt,AV,NA
RNA_DNA,S515RD1,U515,NA,UBC_Hunt,AV,NA
RNA_DNA,S516RD1,U516,NA,UBC_Hunt,AV,NA
RNA_DNA,S517RD1,U517,NA,UBC_Hunt,AV,NA
RNA_DNA,S518RD1,U518,NA,UBC_Hunt,AV,NA
RNA_DNA,S519RD1,U519,NA,UBC_Hunt,AV,NA
RNA_DNA,S520RD1,U520,NA,UBC_Hunt,AV,NA
RNA_DNA,S508RD1,U508,NA,UBC_Hunt,AV,NA
RNA_DNA,S509RD1,U509,NA,UBC_Hunt,AV,NA
RNA_DNA,S510RD1,U510,NA,UBC_Hunt,AV,NA
RNA_DNA,S541RD1,U541,NA,UBC_Hunt,AV,NA
RNA_DNA,S542RD1,U542,NA,UBC_Hunt,AV,NA
RNA_DNA,S543RD1,U543,NA,UBC_Hunt,AV,NA
RNA_DNA,S544RD1,U544,NA,UBC_Hunt,AV,NA
RNA_DNA,S545RD1,U545,NA,UBC_Hunt,AV,NA
