"Cast PK","Hakai ID","Filename","CTD model","CTD serial number","CTD firmware version","Cruise","Station","Drop number","Start time","Bottom time","Drop time (s)","Drop depth (m)","Target depth (m)","Latitude","Longitude","Operators","Comments","Cast Type","Sensors Submerged","Water Depth (m)","Soak Start","Soak End","Weather"
"14784","065679_2018-08-15T16:47:19.834Z","065679_20180815_1228","RBRconcerto","065679","12.040","DI_C,DISOCKEYE","D09","2","2018-08-15 09:47:19.834","2018-08-15 09:48:02.334","43","49.032498710016874","55","undefined","undefined","brett.johnson","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""partly_cloudy"",""wind_speed"":""1"",""swell_height"":""0"",""weather_notes"":null}"
"12845","065679_2018-08-22T16:12:27.333Z","065679_20180822_1156","RBRconcerto","065679","12.040","DISOCKEYE","D09","2","2018-08-22 09:15:09.000","2018-08-22 09:15:52.500","43","55.608266714287126","60","undefined","undefined","julian.gan,katie.davidson,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
"13821","080217_2019-05-10T18:23:11.334Z","080217_20190510_1423","RBRmaestro","080217","1.430","DISOCKEYE","D09","2","2019-05-10 11:23:11.500","2019-05-10 11:24:12.667","61","62.05959613836442","65","undefined","undefined","julian.gan,krystal.bachen,sam.james,Sue Velasquez","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":null,""wind_speed"":null,""swell_height"":null,""weather_notes"":null}"
"13838","080217_2019-05-13T15:31:39.000Z","080217_20190513_1217","RBRmaestro","080217","1.430","DISOCKEYE","D09","2","2019-05-13 08:31:39.000","2019-05-13 08:32:45.000","66","63.192769608779855","65","undefined","undefined","krystal.bachen,sam.james,sarah.friesen,tyrel.froese","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""partly_cloudy"",""wind_speed"":""1"",""swell_height"":""0"",""weather_notes"":null}"
"13902","080217_2019-05-21T19:29:08.500Z","080217_20190521_1500","RBRmaestro","080217","1.430","DISOCKEYE","D09","3","2019-05-21 12:29:38.834","2019-05-21 12:29:58.167","19","19.85364018808047","20","undefined","undefined","emily.haughton,julian.gan,lauren.portner,sarah.friesen","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":null,""wind_speed"":null,""swell_height"":null,""weather_notes"":null}"
"13938","080217_2019-05-25T17:47:11.667Z","080217_20190525_1335","RBRmaestro","080217","1.430","DISOCKEYE","D09","2","2019-05-25 10:47:11.667","2019-05-25 10:47:35.000","23","14.67936458909002","15","undefined","undefined","Caroline Graham,julian.gan,sam.james,sarah.friesen","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":null,""wind_speed"":null,""swell_height"":null,""weather_notes"":null}"
"13952","080217_2019-05-28T19:10:39.000Z","080217_20190528_1424","RBRmaestro","080217","1.430","DISOCKEYE","D09","6","2019-05-28 12:11:00.500","2019-05-28 12:11:21.333","21","21.28215475607234","20","undefined","undefined","Caroline Graham,julian.gan,sam.james,sarah.friesen","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":null,""wind_speed"":null,""swell_height"":null,""weather_notes"":null}"
"13974","080217_2019-06-02T18:52:25.834Z","080217_20190602_1424","RBRmaestro","080217","1.430","DISOCKEYE","D09","3","2019-06-02 11:57:26.500","2019-06-02 11:57:49.667","23","15.385624622904839","15","undefined","undefined","brett.johnson,julian.gan,krystal.bachen","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":null,""wind_speed"":null,""swell_height"":null,""weather_notes"":null}"
"13994","080217_2019-06-05T17:36:30.000Z","080217_20190605_1333","RBRmaestro","080217","1.430","DISOCKEYE","D09","3","2019-06-05 10:38:50.334","2019-06-05 10:39:40.500","50","71.81071085330838","80","undefined","undefined","Jacob Lerner,krystal.bachen,sam.james,sarah.friesen","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":null,""wind_speed"":null,""swell_height"":null,""weather_notes"":null}"
"14043","080217_2019-06-10T18:05:03.833Z","080217_20190610_1348","RBRmaestro","080217","1.430","DISOCKEYE","D09","3","2019-06-10 11:07:35.333","2019-06-10 11:08:33.333","58","61.75354481147252","65","undefined","undefined","Jacob Lerner,julian.gan,sarah.friesen,tyrel.froese","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""cloudy"",""wind_speed"":""1"",""swell_height"":""0"",""weather_notes"":null}"
