ufn,sample_type,sample_id,sample_comments,analyzing_lab,quality_level,quality_log
U16014,sealice_microbiome,S16014LL1,bottom half of louse only,TChang_UBC,raw,
U16017,sealice_microbiome,S16017LL1,,TChang_UBC,raw,
U17096,sealice_microbiome,S17096LL1,,TChang_UBC,raw,
U17094,sealice_microbiome,S17094LL1,,TChang_UBC,raw,
U17041,sealice_microbiome,S17041LL1,,TChang_UBC,raw,
U17326,sealice_microbiome,S17326SL1,,TChang_UBC,raw,
U17381,sealice_microbiome,S17381SL1,,TChang_UBC,raw,
U17389,sealice_microbiome,S17389SL1,,TChang_UBC,raw,
U17117,sealice_microbiome,S17117SL1,,TChang_UBC,raw,
U17111,sealice_microbiome,S17111SL1,,TChang_UBC,raw,
U17118,sealice_microbiome,S17118SL1,,TChang_UBC,raw,
U17011,sealice_microbiome,S17011SL1,,TChang_UBC,raw,
U16281,sealice_microbiome,S16281SL1,louse was put in ethanol first by accident,TChang_UBC,raw,
U17102,sealice_microbiome,S17102SL1,,TChang_UBC,raw,
U17107,sealice_microbiome,S17107SL1,,TChang_UBC,raw,
U17106,sealice_microbiome,S17106SL1,,TChang_UBC,raw,
U17110,sealice_microbiome,S17110SL1,,TChang_UBC,raw,
U17189,sealice_microbiome,S17189SL1,,TChang_UBC,raw,
U17186,sealice_microbiome,S17186SL1,,TChang_UBC,raw,
U17182,sealice_microbiome,S17182SL1,,TChang_UBC,raw,
U17183,sealice_microbiome,S17183SL1,,TChang_UBC,raw,
U17480,sealice_microbiome,S17480SL1,,TChang_UBC,raw,
U17472,sealice_microbiome,S17472SL1,,TChang_UBC,raw,
U17475,sealice_microbiome,S17475SL1,,TChang_UBC,raw,
U17495,sealice_microbiome,S17495SL1,,TChang_UBC,raw,
U22045,sealice_microbiome,S22045SL1,,TChang_UBC,raw,
U22044,sealice_microbiome,S22044SL1,,TChang_UBC,raw,
U22041,sealice_microbiome,S22041SL1,,TChang_UBC,raw,
U22047,sealice_microbiome,S22047SL1,,TChang_UBC,raw,
U22050,sealice_microbiome,S22050SL1,,TChang_UBC,raw,
U22048,sealice_microbiome,S22048SL1,,TChang_UBC,raw,
U22043,sealice_microbiome,S22043SL1,,TChang_UBC,raw,
U22046,sealice_microbiome,S22046SL1,,TChang_UBC,raw,
U22049,sealice_microbiome,S22049SL1,,TChang_UBC,raw,
U22012,sealice_microbiome,S22012SL1,,TChang_UBC,raw,
U20585,sealice_microbiome,S20585SL1,,TChang_UBC,raw,
U20586,sealice_microbiome,S20586SL1,,TChang_UBC,raw,
U20587,sealice_microbiome,S20587SL1,,TChang_UBC,raw,
U20588,sealice_microbiome,S20588SL1,,TChang_UBC,raw,
U20590,sealice_microbiome,S20590SL1,,TChang_UBC,raw,
U21641,sealice_microbiome,S21641SL1,,TChang_UBC,raw,
U21644,sealice_microbiome,S21644SL1,,TChang_UBC,raw,
U21645,sealice_microbiome,S21645SL1,,TChang_UBC,raw,
U21646,sealice_microbiome,S21646SL1,,TChang_UBC,raw,
U22011,sealice_microbiome,S22011SL1,Samples left in -20 for 5 days,TChang_UBC,raw,
U22014,sealice_microbiome,S22014SL1,Samples left in -20 for 5 days,TChang_UBC,raw,
U22017,sealice_microbiome,S22017SL1,Samples left in -20 for 5 days,TChang_UBC,raw,
U22016,sealice_microbiome,S22016SL1,Samples left in -20 for 5 days,TChang_UBC,raw,
U22018,sealice_microbiome,S22018SL1,Samples left in -20 for 5 days,TChang_UBC,raw,
U22108,sealice_microbiome,S22108SL1,,TChang_UBC,raw,
U22109,sealice_microbiome,S22109SL1,,TChang_UBC,raw,
U22110,sealice_microbiome,S22110SL1,,TChang_UBC,raw,
U22101,sealice_microbiome,S22101SL1,,TChang_UBC,raw,
U22103,sealice_microbiome,S22103SL1,,TChang_UBC,raw,
U22105,sealice_microbiome,S22105SL1,,TChang_UBC,raw,
U22106,sealice_microbiome,S22106SL1,,TChang_UBC,raw,
U22102,sealice_microbiome,S22102SL1,,TChang_UBC,raw,
U20591,sealice_microbiome,S20591SL1,,TChang_UBC,raw,
U20595,sealice_microbiome,S20595SL1,,TChang_UBC,raw,
U20592,sealice_microbiome,S20592SL1,,TChang_UBC,raw,
U20887,sealice_microbiome,S20887SL1,,TChang_UBC,raw,
U22095,sealice_microbiome,S22095SL1,,TChang_UBC,raw,
U22092,sealice_microbiome,S22092SL1,,TChang_UBC,raw,
U22098,sealice_microbiome,S22098SL1,,TChang_UBC,raw,
U22097,sealice_microbiome,S22097SL1,,TChang_UBC,raw,
U22093,sealice_microbiome,S22093SL1,,TChang_UBC,raw,
U22091,sealice_microbiome,S22091SL1,,TChang_UBC,raw,
U20505,sealice_microbiome,S20505SL1,,TChang_UBC,raw,
U20506,sealice_microbiome,S20506SL1,,TChang_UBC,raw,
U20502,sealice_microbiome,S20502SL1,,TChang_UBC,raw,
U20541,sealice_microbiome,S20541SL1,,TChang_UBC,raw,
U20545,sealice_microbiome,S20545SL1,,TChang_UBC,raw,
U20542,sealice_microbiome,S20542SL1,,TChang_UBC,raw,
U21663,sealice_microbiome,S21663SL1,,TChang_UBC,raw,
U21664,sealice_microbiome,S21664SL1,,TChang_UBC,raw,
U21665,sealice_microbiome,S21665SL1,,TChang_UBC,raw,
U21666,sealice_microbiome,S21666SL1,Louse in pieces,TChang_UBC,raw,
U21670,sealice_microbiome,S21670SL1,,TChang_UBC,raw,
U22053,sealice_microbiome,S22053SL1,,TChang_UBC,raw,
U22054,sealice_microbiome,S22054SL1,Loose louse on fish label - discarded because not sure of source,TChang_UBC,raw,
U22059,sealice_microbiome,S22059SL1,,TChang_UBC,raw,
U22051,sealice_microbiome,S22051SL1,,TChang_UBC,raw,
U22060,sealice_microbiome,S22060SL1,,TChang_UBC,raw,
U22057,sealice_microbiome,S22057SL1,,TChang_UBC,raw,
U22058,sealice_microbiome,S22058SL1,,TChang_UBC,raw,
U22056,sealice_microbiome,S22056SL1,,TChang_UBC,raw,
U22052,sealice_microbiome,S22052SL1,,TChang_UBC,raw,
U22055,sealice_microbiome,S22055SL1,,TChang_UBC,raw,
U21081,sealice_microbiome,S21081SL1,,TChang_UBC,raw,
U21082,sealice_microbiome,S21082SL1,,TChang_UBC,raw,
U21681,sealice_microbiome,S21681SL1,,TChang_UBC,raw,
U20921,sealice_microbiome,S20921SL1,,TChang_UBC,raw,
U22079,sealice_microbiome,S22079SL1,,TChang_UBC,raw,
U22071,sealice_microbiome,S22071SL1,,TChang_UBC,raw,
U22076,sealice_microbiome,S22076SL1,,TChang_UBC,raw,
U22072,sealice_microbiome,S22072SL1,,TChang_UBC,raw,
U22073,sealice_microbiome,S22073SL1,,TChang_UBC,raw,
U20566,sealice_microbiome,S20566SL1,half a louse,TChang_UBC,raw,
U20543,sealice_microbiome,S20543SL1,,TChang_UBC,raw,
U20548,sealice_microbiome,S20548SL1,,TChang_UBC,raw,
U20547,sealice_microbiome,S20547SL1,,TChang_UBC,raw,
U22038,sealice_microbiome,S22038SL1,,TChang_UBC,raw,
U22033,sealice_microbiome,S22033SL1,,TChang_UBC,raw,
U22031,sealice_microbiome,S22031SL1,,TChang_UBC,raw,
U22036,sealice_microbiome,S22036SL1,,TChang_UBC,raw,
U22039,sealice_microbiome,S22039SL1,,TChang_UBC,raw,
