ufn,sample_id,sample_comments,analyzing_lab,quality_level,quality_log
U742,S742FA1,NA,NA,Raw,
U743,S743FA1,NA,NA,Raw,
U744,S744FA1,NA,NA,Raw,
U745,S745FA1,NA,NA,Raw,
U746,S746FA1,NA,NA,Raw,
U747,S747FA1,NA,NA,Raw,
U748,S748FA1,NA,NA,Raw,
U749,S749FA1,NA,NA,Raw,
U750,S750FA1,NA,NA,Raw,
U751,S751FA1,NA,NA,Raw,
U752,S752FA1,NA,NA,Raw,
U753,S753FA1,NA,NA,Raw,
U754,S754FA1,NA,NA,Raw,
U755,S755FA1,NA,NA,Raw,
U756,S756FA1,NA,NA,Raw,
U757,S757FA1,NA,NA,Raw,
U758,S758FA1,NA,NA,Raw,
U759,S759FA1,NA,NA,Raw,
U760,S760FA1,NA,NA,Raw,
U761,S761FA1,NA,NA,Raw,
U762,S762FA1,NA,NA,Raw,
U763,S763FA1,NA,NA,Raw,
U764,S764FA1,NA,NA,Raw,
U765,S765FA1,NA,NA,Raw,
U766,S766FA1,NA,NA,Raw,
U767,S767FA1,NA,NA,Raw,
U768,S768FA1,NA,NA,Raw,
U769,S769FA1,NA,NA,Raw,
U770,S770FA1,NA,NA,Raw,
U771,S771FA1,NA,NA,Raw,
U772,S772FA1,NA,NA,Raw,
U773,S773FA1,NA,NA,Raw,
U774,S774FA1,NA,NA,Raw,
U775,S775FA1,NA,NA,Raw,
U776,S776FA1,NA,NA,Raw,
U777,S777FA1,NA,NA,Raw,
U778,S778FA1,NA,NA,Raw,
U779,S779FA1,NA,NA,Raw,
U780,S780FA1,NA,NA,Raw,
U781,S781FA1,NA,NA,Raw,
U782,S782FA1,NA,NA,Raw,
U783,S783FA1,NA,NA,Raw,
U784,S784FA1,NA,NA,Raw,
U785,S785FA1,NA,NA,Raw,
U786,S786FA1,NA,NA,Raw,
U787,S787FA1,NA,NA,Raw,
U788,S788FA1,NA,NA,Raw,
U789,S789FA1,NA,NA,Raw,
U790,S790FA1,NA,NA,Raw,
U791,S791FA1,NA,NA,Raw,
U792,S792FA1,NA,NA,Raw,
U793,S793FA1,NA,NA,Raw,
U794,S794FA1,NA,NA,Raw,
U795,S795FA1,NA,NA,Raw,
U796,S796FA1,NA,NA,Raw,
U797,S797FA1,NA,NA,Raw,
U798,S798FA1,NA,NA,Raw,
U799,S799FA1,NA,NA,Raw,
U800,S800FA1,NA,NA,Raw,
U801,S801FA1,NA,NA,Raw,
U802,S802FA1,NA,NA,Raw,
U803,S803FA1,NA,NA,Raw,
U804,S804FA1,NA,NA,Raw,
U805,S805FA1,NA,NA,Raw,
U806,S806FA1,NA,NA,Raw,
U807,S807FA1,NA,NA,Raw,
U808,S808FA1,NA,NA,Raw,
U809,S809FA1,NA,NA,Raw,
U810,S810FA1,NA,NA,Raw,
U811,S811FA1,NA,NA,Raw,
U812,S812FA1,NA,NA,Raw,
U813,S813FA1,NA,NA,Raw,
U814,S814FA1,NA,NA,Raw,
U815,S815FA1,NA,NA,Raw,
U816,S816FA1,NA,NA,Raw,
U817,S817FA1,NA,NA,Raw,
U818,S818FA1,NA,NA,Raw,
U819,S819FA1,NA,NA,Raw,
U820,S820FA1,NA,NA,Raw,
U821,S821FA1,NA,NA,Raw,
U822,S822FA1,NA,NA,Raw,
U823,S823FA1,NA,NA,Raw,
U824,S824FA1,NA,NA,Raw,
U825,S825FA1,NA,NA,Raw,
U826,S826FA1,NA,NA,Raw,
U827,S827FA1,NA,NA,Raw,
U828,S828FA1,NA,NA,Raw,
U829,S829FA1,NA,NA,Raw,
U830,S830FA1,NA,NA,Raw,
U831,S831FA1,NA,NA,Raw,
U832,S832FA1,NA,NA,Raw,
U833,S833FA1,NA,NA,Raw,
U834,S834FA1,NA,NA,Raw,
U835,S835FA1,NA,NA,Raw,
U836,S836FA1,NA,NA,Raw,
U837,S837FA1,NA,NA,Raw,
U838,S838FA1,NA,NA,Raw,
U839,S839FA1,NA,NA,Raw,
U840,S840FA1,NA,NA,Raw,
U841,S841FA1,NA,NA,Raw,
U842,S842FA1,NA,NA,Raw,
U843,S843FA1,NA,NA,Raw,
U844,S844FA1,NA,NA,Raw,
U845,S845FA1,NA,NA,Raw,
U846,S846FA1,NA,NA,Raw,
U847,S847FA1,NA,NA,Raw,
U848,S848FA1,NA,NA,Raw,
U849,S849FA1,NA,NA,Raw,
U850,S850FA1,NA,NA,Raw,
U851,S851FA1,NA,NA,Raw,
U852,S852FA1,NA,NA,Raw,
U853,S853FA1,NA,NA,Raw,
U854,S854FA1,NA,NA,Raw,
U855,S855FA1,NA,NA,Raw,
U856,S856FA1,NA,NA,Raw,
U857,S857FA1,NA,NA,Raw,
U858,S858FA1,NA,NA,Raw,
U859,S859FA1,NA,NA,Raw,
U860,S860FA1,NA,NA,Raw,
U861,S861FA1,NA,NA,Raw,
U862,S862FA1,NA,NA,Raw,
U863,S863FA1,NA,NA,Raw,
U864,S864FA1,NA,NA,Raw,
U865,S865FA1,NA,NA,Raw,
U866,S866FA1,NA,NA,Raw,
U867,S867FA1,NA,NA,Raw,
U868,S868FA1,NA,NA,Raw,
U869,S869FA1,NA,NA,Raw,
U870,S870FA1,NA,NA,Raw,
U871,S871FA1,NA,NA,Raw,
U872,S872FA1,NA,NA,Raw,
U874,S874FA1,NA,NA,Raw,
U875,S875FA1,NA,NA,Raw,
U876,S876FA1,NA,NA,Raw,
U877,S877FA1,NA,NA,Raw,
U878,S878FA1,NA,NA,Raw,
U879,S879FA1,NA,NA,Raw,
U880,S880FA1,NA,NA,Raw,
U881,S881FA1,NA,NA,Raw,
U882,S882FA1,NA,NA,Raw,
U883,S883FA1,NA,NA,Raw,
U884,S884FA1,NA,NA,Raw,
U885,S885FA1,NA,NA,Raw,
U886,S886FA1,NA,NA,Raw,
U887,S887FA1,NA,NA,Raw,
U888,S888FA1,NA,NA,Raw,
U889,S889FA1,NA,NA,Raw,
U890,S890FA1,NA,NA,Raw,
U891,S891FA1,NA,NA,Raw,
U892,S892FA1,NA,NA,Raw,
U893,S893FA1,NA,NA,Raw,
U894,S894FA1,NA,NA,Raw,
U895,S895FA1,NA,NA,Raw,
U896,S896FA1,NA,NA,Raw,
U897,S897FA1,NA,NA,Raw,
U898,S898FA1,NA,NA,Raw,
U899,S899FA1,NA,NA,Raw,
U900,S900FA1,NA,NA,Raw,
U901,S901FA1,NA,NA,Raw,
U902,S902FA1,NA,NA,Raw,
U903,S903FA1,NA,NA,Raw,
U904,S904FA1,NA,NA,Raw,
