sample_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5,analyzing_lab,stock_id_quality_flag,stock_id_quality_level,stock_id_quality_log
JS00427,CHILKO,3,0.46,TACHIE,3,0.45,PINCHI_CR,3,0.06,KYNOCK,1,0.01,"NADINA",2,0.01,PBS,AV,level1,NA
JS00430,QUESNEL_HORSEF,3,0.4,LITTLE,4,0.32,L_SHUSWAP,4,0.1,L_ADAMS,4,0.08,HORSEFLY,3,0.03,PBS,AV,level1,NA
JS00426,TACHIE,3,0.24,SCOTCH,2,0.17,CHILKO,3,0.11,L_SHUSWAP,4,0.11,PINCHI_CR,3,0.1,PBS,AV,level1,NA
JS00429,L_SHUSWAP,4,0.75,LITTLE,4,0.19,L_ADAMS,4,0.03,QUESNEL_HORSEF,3,0.01,MIDDLESHUSWAP,4,0.01,PBS,AV,level1,NA
JS00422,TACHIE,3,0.62,PINCHI_CR,3,0.22,CHILKO,3,0.06,QUESNEL_HORSEF,3,0.04,KYNOCK,1,0.02,PBS,AV,level1,NA
JS00428,L_SHUSWAP,4,0.87,MIDDLESHUSWAP,4,0.06,LITTLE,4,0.04,L_ADAMS,4,0.02,SCOTCH,2,0,PBS,AV,level1,NA
JS00424,L_SHUSWAP,4,0.79,SCOTCH,2,0.08,LITTLE,4,0.04,L_ADAMS,4,0.02,ROARING,3,0.01,PBS,AV,level1,NA
JS01360,CHILKO,3,0.75,LITTLE,4,0.08,QUESNEL_HORSEF,3,0.05,CHILKO-NORTH,3,0.04,L_SHUSWAP,4,0.03,PBS,AV,level1,NA
JS01354,L_SHUSWAP,4,0.67,MIDDLESHUSWAP,4,0.23,EAGLE_L,4,0.08,LITTLE,4,0.02,SEYMOUR,2,0,PBS,AV,level1,NA
JS01355,LITTLE,4,0.34,L_SHUSWAP,4,0.25,SCOTCH,2,0.18,SEYMOUR,2,0.16,MIDDLESHUSWAP,4,0.07,PBS,AV,level1,NA
JS01356,CHILKO,3,1,CHILKO-NORTH,3,0,LITTLE,4,0,CHILKO_SOUTH,2,0,NA,NA,NA,PBS,AV,level1,NA
JS01353,SEYMOUR,2,0.54,SCOTCH,2,0.41,L_SHUSWAP,4,0.02,MIDDLESHUSWAP,4,0.02,LITTLE,4,0.01,PBS,AV,level1,NA
JS01359,L_SHUSWAP,4,0.9,MIDDLESHUSWAP,4,0.09,EAGLE_L,4,0.01,LITTLE,4,0,L_ADAMS,4,0,PBS,AV,level1,NA
JS01352,HORSEFLY,3,0.82,QUESNEL_HORSEF,3,0.15,ROARING,3,0.02,MCKINLEY,3,0,CHILKO,3,0,PBS,AV,level1,NA
JS01357,LITTLE,4,0.59,L_SHUSWAP,4,0.15,HORSEFLY,3,0.14,SEYMOUR,2,0.03,QUESNEL_DECEPT,3,0.03,PBS,AV,level1,NA
JS01351,SCOTCH,2,0.87,SEYMOUR,2,0.1,MIDDLESHUSWAP,4,0.01,L_SHUSWAP,4,0.01,LITTLE,4,0,PBS,AV,level1,NA
JS01358,CHILKO,3,0.89,CHILKO-NORTH,3,0.09,MIDDLE,3,0.01,CHILKO_SOUTH,2,0.01,QUESNEL_DECEPT,3,0,PBS,AV,level1,NA
JS00840,QUESNEL_HORSEF,3,0.57,MITCHELL,3,0.15,HORSEFLY,3,0.14,M_HORSEFLY,3,0.12,CHILKO,3,0.01,PBS,AV,level1,NA
JS00813,L_ADAMS,4,1,SEYMOUR,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
JS00811,HORSEFLY,3,0.44,M_HORSEFLY,3,0.25,CHILKO,3,0.15,L_ADAMS,4,0.08,CHILKO-NORTH,3,0.06,PBS,AV,level1,NA
JS00812,QUESNEL_HORSEF,3,0.51,CHILKO,3,0.18,L_ADAMS,4,0.18,HORSEFLY,3,0.08,L_SHUSWAP,4,0.02,PBS,AV,level1,NA
JS00816,L_ADAMS,4,0.59,SEYMOUR,2,0.38,L_SHUSWAP,4,0.03,SCOTCH,2,0,NA,NA,NA,PBS,AV,level1,NA
JS00815,MITCHELL,3,1,QUESNEL_MITCHE,3,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
JS00814,L_SHUSWAP,4,0.91,MIDDLESHUSWAP,4,0.07,L_ADAMS,4,0.02,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
JS00817,L_SHUSWAP,4,0.97,L_ADAMS,4,0.02,MIDDLESHUSWAP,4,0,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
JS00820,L_ADAMS,4,0.88,SEYMOUR,2,0.11,HORSEFLY,3,0,QUESNEL_HORSEF,3,0,CHILKO,3,0,PBS,AV,level1,NA
JS00818,L_ADAMS,4,0.57,SEYMOUR,2,0.22,L_SHUSWAP,4,0.21,MIDDLESHUSWAP,4,0.01,LITTLE,4,0,PBS,AV,level1,NA
JS00974,CHILKO-NORTH,3,0.87,CHILKO,3,0.11,MIDDLESHUSWAP,4,0,L_ADAMS,4,0,SEYMOUR,2,0,PBS,AV,level1,NA
JS00980,CHILKO,3,0.82,HUDSON_BAY,1,0.12,PAULA,1,0.02,FIVEMILE,1,0.02,MCKINLEY,3,0.01,PBS,AV,level1,NA
JS00977,CHILKO,3,0.54,L_ADAMS,4,0.22,QUESNEL_HORSEF,3,0.09,CHILKO-NORTH,3,0.07,MCKINLEY,3,0.06,PBS,AV,level1,NA
JS00973,QUESNEL_HORSEF,3,0.74,MCKINLEY,3,0.16,M_HORSEFLY,3,0.06,L_ADAMS,4,0.03,HORSEFLY,3,0,PBS,AV,level1,NA
JS00978,L_ADAMS,4,0.77,SEYMOUR,2,0.05,PORTAGE_CR,4,0.04,L_SHUSWAP,4,0.04,SCOTCH,2,0.03,PBS,AV,level1,NA
JS00961,L_ADAMS,4,0.83,MIDDLESHUSWAP,4,0.1,SEYMOUR,2,0.04,L_SHUSWAP,4,0.02,SCOTCH,2,0.01,PBS,AV,level1,NA
JS00975,L_ADAMS,4,0.48,CHILKO,3,0.26,CHILKO-NORTH,3,0.11,QUESNEL_HORSEF,3,0.07,MIDDLESHUSWAP,4,0.05,PBS,AV,level1,NA
JS00979,SCOTCH,2,0.79,SEYMOUR,2,0.21,L_SHUSWAP,4,0,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
JS00971,L_SHUSWAP,4,0.79,MIDDLESHUSWAP,4,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
JS00976,MIDDLESHUSWAP,4,0.48,L_ADAMS,4,0.41,L_SHUSWAP,4,0.08,CHILKO,3,0.01,PORTAGE_CR,4,0.01,PBS,AV,level1,NA
