sample_id,sample_type,sample_subtype,ufn,sample_comments
S377CA1,carcass,whole,U377,NA
S378CA1,carcass,whole,U378,NA
S379CA1,carcass,whole,U379,NA
S380CA1,carcass,whole,U380,NA
S381CA1,carcass,whole,U381,NA
S382CA1,carcass,whole,U382,NA
S383CA1,carcass,whole,U383,NA
S384CA1,carcass,whole,U384,NA
S385CA1,carcass,whole,U385,NA
S386CA1,carcass,whole,U386,NA
S387CA1,carcass,whole,U387,NA
S388CA1,carcass,whole,U388,NA
S389CA1,carcass,whole,U389,NA
S390CA1,carcass,whole,U390,NA
S391CA1,carcass,whole,U391,NA
S392CA1,carcass,whole,U392,NA
S393CA1,carcass,whole,U393,NA
S394CA1,carcass,whole,U394,NA
S395CA1,carcass,whole,U395,NA
S396CA1,carcass,whole,U396,NA
S397CA1,carcass,whole,U397,NA
S398CA1,carcass,whole,U398,NA
S399CA1,carcass,whole,U399,NA
S400CA1,carcass,whole,U400,NA
S401CA1,carcass,whole,U401,NA
S402CA1,carcass,whole,U402,NA
S403CA1,carcass,whole,U403,NA
S404CA1,carcass,whole,U404,NA
S405CA1,carcass,whole,U405,NA
S406CA1,carcass,whole,U406,NA
S407CA1,carcass,whole,U407,NA
S408CA1,carcass,whole,U408,NA
S409CA1,carcass,whole,U409,NA
S410CA1,carcass,whole,U410,NA
S411CA1,carcass,whole,U411,NA
S412CA1,carcass,whole,U412,NA
S413CA1,carcass,whole,U413,NA
S414CA1,carcass,whole,U414,NA
S415CA1,carcass,whole,U415,NA
S416CA1,carcass,whole,U416,NA
S417CA1,carcass,whole,U417,NA
S418CA1,carcass,whole,U418,NA
S419CA1,carcass,whole,U419,NA
S420CA1,carcass,whole,U420,NA
S421CA1,carcass,whole,U421,NA
S422CA1,carcass,whole,U422,NA
S423CA1,carcass,whole,U423,NA
S424CA1,carcass,whole,U424,NA
S425CA1,carcass,whole,U425,NA
S426CA1,carcass,whole,U426,NA
S427CA1,carcass,whole,U427,NA
S428CA1,carcass,whole,U428,NA
S429CA1,carcass,whole,U429,NA
S430CA1,carcass,whole,U430,NA
S431CA1,carcass,whole,U431,NA
S432CA1,carcass,whole,U432,NA
S433CA1,carcass,whole,U433,NA
S434CA1,carcass,whole,U434,NA
S435CA1,carcass,whole,U435,NA
S436CA1,carcass,whole,U436,NA
S437CA1,carcass,whole,U437,NA
S438CA1,carcass,whole,U438,NA
S439CA1,carcass,whole,U439,NA
S440CA1,carcass,whole,U440,NA
S441CA1,carcass,whole,U441,NA
S442CA1,carcass,whole,U442,NA
S443CA1,carcass,whole,U443,NA
S444CA1,carcass,whole,U444,NA
S445CA1,carcass,whole,U445,NA
S446CA1,carcass,whole,U446,NA
S447CA1,carcass,whole,U447,NA
S448CA1,carcass,whole,U448,NA
S449CA1,carcass,whole,U449,NA
S450CA1,carcass,whole,U450,NA
S451CA1,carcass,whole,U451,NA
S452CA1,carcass,whole,U452,NA
S453CA1,carcass,whole,U453,NA
S454CA1,carcass,whole,U454,NA
S455CA1,carcass,whole,U455,NA
S456CA1,carcass,whole,U456,NA
S457CA1,carcass,whole,U457,NA
S458CA1,carcass,whole,U458,NA
S459CA1,carcass,whole,U459,NA
S460CA1,carcass,whole,U460,NA
S461CA1,carcass,whole,U461,NA
S462CA1,carcass,whole,U462,NA
S463CA1,carcass,whole,U463,NA
S464CA1,carcass,whole,U464,NA
S465CA1,carcass,whole,U465,NA
S466CA1,carcass,whole,U466,NA
S467CA1,carcass,whole,U467,NA
S468CA1,carcass,whole,U468,NA
S469CA1,carcass,whole,U469,NA
S470CA1,carcass,whole,U470,NA
S471CA1,carcass,whole,U471,NA
S472CA1,carcass,whole,U472,NA
S473CA1,carcass,whole,U473,NA
S474CA1,carcass,whole,U474,NA
S475CA1,carcass,whole,U475,NA
S476CA1,carcass,whole,U476,NA
S477CA1,carcass,whole,U477,NA
S478CA1,carcass,whole,U478,NA
S479CA1,carcass,whole,U479,NA
S480CA1,carcass,whole,U480,NA
S481CA1,carcass,whole,U481,NA
S482CA1,carcass,whole,U482,NA
S483CA1,carcass,whole,U483,NA
S484CA1,carcass,whole,U484,NA
S485CA1,carcass,whole,U485,NA
S486CA1,carcass,whole,U486,NA
S487CA1,carcass,whole,U487,NA
S488CA1,carcass,whole,U488,NA
S489CA1,carcass,whole,U489,NA
S490CA1,carcass,whole,U490,NA
S491CA1,carcass,whole,U491,NA
S492CA1,carcass,whole,U492,NA
S493CA1,carcass,whole,U493,NA
S494CA1,carcass,whole,U494,NA
S495CA1,carcass,whole,U495,NA
S496CA1,carcass,whole,U496,NA
S497CA1,carcass,whole,U497,NA
S498CA1,carcass,whole,U498,NA
S499CA1,carcass,whole,U499,NA
S500CA1,carcass,whole,U500,NA
S501CA1,carcass,whole,U501,NA
S502CA1,carcass,whole,U502,NA
S503CA1,carcass,whole,U503,NA
S504CA1,carcass,whole,U504,NA
S505CA1,carcass,whole,U505,NA
S506CA1,carcass,whole,U506,NA
S507CA1,carcass,whole,U507,NA
S508CA1,carcass,whole,U508,NA
S509CA1,carcass,whole,U509,NA
S510CA1,carcass,whole,U510,NA
S511CA1,carcass,whole,U511,NA
S512CA1,carcass,whole,U512,NA
