sample_id,sample_type,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
SXM4495,extra_muscle,U4095,NA,NA,AV,NA
SXM4505,extra_muscle,U4105,NA,NA,AV,NA
SXM4447,extra_muscle,U4047,NA,NA,AV,NA
SXM4506,extra_muscle,U4106,NA,NA,AV,NA
SXM4521,extra_muscle,U4121,NA,NA,AV,NA
SXM4448,extra_muscle,U4048,NA,NA,AV,NA
SXM4522,extra_muscle,U4122,NA,NA,AV,NA
SXM4508,extra_muscle,U4108,NA,NA,AV,NA
SXM4449,extra_muscle,U4049,NA,NA,AV,NA
SXM4523,extra_muscle,U4123,NA,NA,AV,NA
SXM4450,extra_muscle,U4050,NA,NA,AV,NA
SXM4461,extra_muscle,U4061,NA,NA,MV,NA
SXM4509,extra_muscle,U4109,NA,NA,AV,NA
SXM4543,extra_muscle,U4143,NA,NA,AV,NA
SXM4534,extra_muscle,U4134,NA,NA,AV,NA
SXM4510,extra_muscle,U4110,NA,NA,AV,NA
SXM4511,extra_muscle,U4111,NA,NA,AV,NA
SXM4512,extra_muscle,U4112,NA,NA,AV,NA
SXM4513,extra_muscle,U4113,NA,NA,AV,NA
SXM4514,extra_muscle,U4114,NA,NA,AV,NA
SXM4544,extra_muscle,U4144,NA,NA,AV,NA
SXM4462,extra_muscle,U4062,NA,NA,AV,NA
SXM4545,extra_muscle,U4145,NA,NA,AV,NA
SXM4535,extra_muscle,U4135,NA,NA,AV,NA
SXM4463,extra_muscle,U4063,NA,NA,AV,NA
SXM4546,extra_muscle,U4146,NA,NA,AV,NA
SXM4536,extra_muscle,U4136,NA,NA,AV,NA
SXM4547,extra_muscle,U4147,NA,NA,AV,NA
SXM4537,extra_muscle,U4137,NA,NA,AV,NA
SXM4464,extra_muscle,U4064,NA,NA,AV,NA
SXM4548,extra_muscle,U4148,NA,NA,AV,NA
SXM4538,extra_muscle,U4138,NA,NA,AV,NA
SXM4549,extra_muscle,U4149,NA,NA,AV,NA
SXM4527,extra_muscle,U4127,NA,NA,AV,NA
SXM4526,extra_muscle,U4126,NA,NA,AV,NA
SXM4528,extra_muscle,U4128,NA,NA,AV,NA
SXM4530,extra_muscle,U4130,NA,NA,AV,NA
SXM4529,extra_muscle,U4129,NA,NA,AV,NA
SXM4531,extra_muscle,U4131,NA,NA,AV,NA
SXM4532,extra_muscle,U4132,NA,NA,AV,NA
SXM4533,extra_muscle,U4133,NA,NA,AV,NA
SXM4550,extra_muscle,U4150,NA,NA,AV,NA
SXM4551,extra_muscle,U4151,NA,NA,AV,NA
SXM4552,extra_muscle,U4152,NA,NA,AV,NA
SXM4553,extra_muscle,U4153,NA,NA,AV,NA
SXM4554,extra_muscle,U4154,NA,NA,AV,NA
SXM5499,extra_muscle,U4960,NA,NA,AV,NA
SXM4567,extra_muscle,U4167,NA,NA,AV,NA
SXM4568,extra_muscle,U4168,NA,NA,AV,NA
SXM4569,extra_muscle,U4169,NA,NA,AV,NA
SXM4555,extra_muscle,U4155,NA,NA,AV,NA
SXM5504,extra_muscle,U4965,NA,NA,AV,NA
SXM4504,extra_muscle,U4104,NA,NA,AV,NA
SXM4559,extra_muscle,U4159,NA,NA,AV,NA
SXM4560,extra_muscle,U4160,NA,NA,AV,NA
SXM4561,extra_muscle,U4161,NA,NA,AV,NA
SXM4562,extra_muscle,U4162,NA,NA,AV,NA
SXM4556,extra_muscle,U4156,NA,NA,AV,NA
SXM4557,extra_muscle,U4157,NA,NA,AV,NA
SXM4558,extra_muscle,U4158,NA,NA,AV,NA
SXM4563,extra_muscle,U4163,NA,NA,AV,NA
SXM4564,extra_muscle,U4164,NA,NA,AV,NA
SXM4565,extra_muscle,U4165,NA,NA,AV,NA
SXM4566,extra_muscle,U4166,NA,NA,AV,NA
SXM4503,extra_muscle,U4103,NA,NA,AV,NA
SXM4502,extra_muscle,U4102,NA,NA,AV,NA
SXM4501,extra_muscle,U4101,NA,NA,AV,NA
SXM4500,extra_muscle,U4100,NA,NA,AV,NA
SXM4499,extra_muscle,U4099,NA,NA,AV,NA
SXM4498,extra_muscle,U4098,NA,NA,AV,NA
SXM4497,extra_muscle,U4097,NA,NA,AV,NA
SXM4570,extra_muscle,U4170,NA,NA,AV,NA
SXM4571,extra_muscle,U4171,NA,NA,AV,NA
SXM4572,extra_muscle,U4172,NA,NA,AV,NA
SXM4573,extra_muscle,U4173,NA,NA,AV,NA
SXM5250,extra_muscle,U4800,NA,NA,AV,NA
SXM5251,extra_muscle,U4801,NA,NA,AV,NA
SXM5252,extra_muscle,U4802,NA,NA,AV,NA
SXM5226,extra_muscle,U4776,NA,NA,AV,NA
SXM5227,extra_muscle,U4777,NA,NA,AV,NA
SXM5228,extra_muscle,U4778,NA,NA,AV,NA
SXM5229,extra_muscle,U4779,NA,NA,AV,NA
SXM5230,extra_muscle,U4780,NA,NA,AV,NA
SXM5178,extra_muscle,U4728,NA,NA,AV,NA
SXM5231,extra_muscle,U4781,NA,NA,AV,NA
SXM5179,extra_muscle,U4729,NA,NA,AV,NA
SXM5232,extra_muscle,U4782,NA,NA,AV,NA
SXM5180,extra_muscle,U4730,NA,NA,AV,NA
SXM5233,extra_muscle,U4783,NA,NA,AV,NA
SXM5234,extra_muscle,U4784,NA,NA,AV,NA
SXM5181,extra_muscle,U4731,NA,NA,AV,NA
SXM5235,extra_muscle,U4785,NA,NA,AV,NA
SXM5253,extra_muscle,U4803,NA,NA,AV,NA
SXM5182,extra_muscle,U4732,NA,NA,AV,NA
SXM5236,extra_muscle,U4786,NA,NA,AV,NA
SXM5202,extra_muscle,U4752,NA,NA,AV,NA
SXM5254,extra_muscle,U4804,NA,NA,AV,NA
SXM5237,extra_muscle,U4787,NA,NA,AV,NA
SXM5183,extra_muscle,U4733,NA,NA,AV,NA
SXM5203,extra_muscle,U4753,NA,NA,AV,NA
SXM5238,extra_muscle,U4788,NA,NA,AV,NA
SXM5207,extra_muscle,U4757,NA,NA,AV,NA
SXM5208,extra_muscle,U4758,NA,NA,AV,NA
SXM5209,extra_muscle,U4759,NA,NA,AV,NA
SXM5210,extra_muscle,U4760,NA,NA,AV,NA
SXM5255,extra_muscle,U4805,NA,NA,AV,NA
SXM5184,extra_muscle,U4734,NA,NA,AV,NA
SXM5204,extra_muscle,U4754,NA,NA,AV,NA
SXM5239,extra_muscle,U4789,NA,NA,AV,NA
SXM5185,extra_muscle,U4735,NA,NA,AV,NA
SXM5256,extra_muscle,U4806,NA,NA,AV,NA
SXM5205,extra_muscle,U4755,NA,NA,AV,NA
SXM5240,extra_muscle,U4790,NA,NA,AV,NA
SXM5257,extra_muscle,U4807,NA,NA,AV,NA
SXM5186,extra_muscle,U4736,NA,NA,AV,NA
SXM5241,extra_muscle,U4791,NA,NA,AV,NA
SXM5258,extra_muscle,U4808,NA,NA,AV,NA
SXM5274,extra_muscle,U4824,NA,NA,AV,NA
